"age","it_years","job_function","team_size","education_level","arch_dec_experience","project_phase","arch_dec_process","custom_arch_dec","arch_dec_confidence","arch_dec_options","arch_dec_tools","arch_dec_doc","arch_dec_doc_importance","arch_dec_revisit","factor_size","factor_business","factor_organizational","factor_technical","factor_cultural","factor_individual","factor_project","factor_scope","factor_quality_attribute","factor_user_requirement","factor_literature","factor_tools_trend_available","lack_req_clarity","non_req_conflict","insufficient_deadline","stakeholder_conflict","contractual_obligation","business_domain_lack","principle_facts","principle_solution","principle_pros_cons","principle_solution_limitation","principle_arch_solution","principle_timeframe","principle_priority","principle_risks"
"11","41 to 50 years","More than 15","Diretor","100+","PHD","10 to 20 years","At the beginning of project","Group decision","","4",5,"Yes","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.)",5,4,"Moderately Important","Very Important","Important","Very Important","Moderately Important","Moderately Important","Important","Important","Important","Very Important","Moderately Important","Important","Above average","Above average","Very high","Very high","Above average","Very high","Important","Important","Important","Important","Very Important","Important","Moderately Important","Moderately Important"
"12","41 to 50 years","More than 15","Other","100+","MBA","5 to 10 years","At the beginning of project","Group decision","A arquitetura precisa ser definida com base no escopo contratado pelo cliente. Após alinhamento inicial, os arquitetos fazem o projeto e submetem para a aprovação do cliente. Em seguida são realizados os ajustes solicitados e caso aprovado, segue para desenvolvimento do projeto.","5",5,"No","Depende do projeto. Alguns utilizam Jira, outros utilizam Word.",5,4,"Important","Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Moderately Important","Very Important","Very high","Very high","Very high","Very high","Very high","Very high","Very Important","Very Important","Very Important","Important","Important","Very Important","Very Important","Very Important"
"13","31 to 40 years","11 to 15 years","Senior Developer","1 - 10","MBA","3 to 4 years","At the beginning of project","Group decision","","4",3,"No","Wiki",5,4,"Important","Very Important","Moderately Important","Important","Slightly Important","Slightly Important","Important","Moderately Important","Very Important","Moderately Important","Important","Very Important","Above average","Average","Average","Below Average","Very high","Below Average","Very Important","Very Important","Important","Moderately Important","Moderately Important","Very Important","Important","Moderately Important"
"14","31 to 40 years","6 to 10 years","Senior Developer","1 - 10","MBA","3 to 4 years","No specific point","Group decision","A organização possui um processo de desenvolvimento de software no qual se insere uma etapa de gerenciamento de arquitetura de software. Essa etapa  é responsável pela definição da arquitetura do software, seus componentes, suas propriedades externas e seus relacionamentos com outros softwares. Partimos de uma arquitetura base predefinida para determinado tipo de software a ser desenvolvido. Com as iterações da sprint o software eventualmente poderá ter alguns ajustes em sua arquitetura, retroalimentando o processo de desenvolvimento com essas modificações, o que pode influir em todo o ciclo de vida desse e dos demais softwares. As decisões são tomadas, portanto, de modo contínuo ao longo do desenvolvimento e partem de um núcleo arquitetural predefinido. ","5",5,"No","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);E-mails;Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.);Confluence",5,5,"Moderately Important","Very Important","Important","Very Important","Important","Slightly Important","Very Important","Very Important","Very Important","Very Important","Moderately Important","Very Important","Above average","Very high","Above average","Very high","Very high","Average","Important","Important","Important","Very Important","Very Important","Important","Important","Important"
"15","41 to 50 years","11 to 15 years","Team Lead","1 - 10","Graduated","5 to 10 years","Other","Group decision","","3",4,"No","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,3,"Very Important","Important","Very Important","Very Important","Moderately Important","Moderately Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very high","Very high","Above average","Above average","Average","Very high","Very Important","Very Important","Very Important","Important","Important","Very Important","Very Important","Very Important"
"16","31 to 40 years","More than 15","Software Engineer","1 - 10","MBA","5 to 10 years","At each sprint/iteration","Group decision","","4",4,"No","Código-fonte (Gitlab, Github, DCVS, CVS, etc.)",5,3,"Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very high","Very high","Very high","Very high","Very high","Very high","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important"
"17","20 to 30 years","6 to 10 years","Software Engineer","11 - 25","Graduated","1 to 2 years","At the beginning of project","Group decision","Através de reuniões onde é levantada a mudança em questão para que toda a equipe possa avaliar.","4",5,"No","Documento de Texto (Word, Text, Google Docs);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",4,3,"Important","Important","Important","Very Important","Important","Moderately Important","Very Important","Important","Important","Important","Important","Very Important","Average","Below Average","Very high","Average","Average","Very high","Important","Important","Very Important","Moderately Important","Very Important","Very Important","Important","Important"
"18","31 to 40 years","6 to 10 years","Software Engineer","11 - 25","Graduated","1 to 2 years","At the beginning of project","Group decision","","4",5,"No","Documento de Texto (Word, Text, Google Docs);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,2,"NA","Very Important","Important","Important","Slightly Important","NA","Moderately Important","Moderately Important","Moderately Important","Important","Slightly Important","Important","Very high","Average","Above average","Below Average","Average","Above average","Very Important","Important","Important","Important","Very Important","Very Important","Important","Very Important"
"19","41 to 50 years","More than 15","Architect","100+","Graduated","10 to 20 years","No specific point","Group decision","","5",5,"No","Wiki;Any/Architectural Decision Record (ADR);Código-fonte (Gitlab, Github, DCVS, CVS, etc.)",5,5,"Very Important","Very Important","Very Important","Very Important","Very Important","Not Important","Very Important","Very Important","Very Important","Very Important","Important","Moderately Important","Above average","Very high","Very high","Below Average","Below Average","Very high","Very Important","Very Important","Very Important","Moderately Important","Very Important","Very Important","Very Important","Not Important"
"20","41 to 50 years","More than 15","Consultant","100+","Master's Degree","More than 20 years","No specific point","Group decision","Ao longo de uma iteração em que há alguma decisão relevante para a arquitetura, o time de se reúne e discute o que fazer. Os engenheiros maia seniores normalmente influenciam mais a decisão, mas todos participam. ","4",5,"No","Any/Architectural Decision Record (ADR);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)",5,4,"Important","Very Important","Very Important","Very Important","Important","Important","Important","Important","Very Important","Very Important","Important","Very Important","Very high","Very high","Very high","Above average","Above average","Very high","Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important"
