"Carimbo de data/hora","Confirme que você concorda com os termos e condições acima para a pesquisa.","Qual sua idade?","Há quantos anos você trabalha na área de tecnologia da informação/TI?","Qual sua função na empresa onde vc trabalha?","Qual o tamanho da sua equipe de trabalho?","Qual seu grau de educação formal?","Você é responsável pelas decisões arquiteturais no seu local de trabalho?","Há quantos anos você trabalha tomando e/ou documentando decisões arquiteturais?","Em qual fase do projeto são tomadas as decisões arquiteturais?","Como as decisões arquiteturais são tomadas?","Descreva como são tomadas as decisões arquiteturais onde você trabalha.","O quão confiante você é ao tomar uma decisão arquitetural?","Ao tomar uma decisão arquitetural, você procura eleger mais uma solução na sua mente?","Você utiliza alguma ferramenta de apoio a tomada de decisão arquitetural?","Como são documentadas as decisões arquiteturais tomadas?","Quão importante você considera documentar decisões arquiteturais tomadas?","As decisões arquiteturais tomadas são revisitadas durante o tempo de vida do projeto? ","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Tamanho da Empresa]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Negociais (Domínio, Modelo, Custo/Risco/Tempo, Estratégia de Negócio)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Organizacionais (Tamanho do Time, Organização do Time, Processos e Práticas, Padrões e Restrições)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Técnicos (Princípios e Padrões, Restrições)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Culturais]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Individuais]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores de Projeto (Tipo e Duração do Projeto)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Escopo da Decisão]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Atributos de Qualidade]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Requisitos do Usuário]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Literatura existente]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Ferramentas e Tecnologia Disponíveis]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Falta de clareza nos requisitos]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Requisitos Não Funcionais Conflitantes (ex.: Desempenho x Segurança)]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Prazo de entrega insuficiente]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Conflito entre Stakeholders]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Obrigações Contratuais Legais (ex.: LGPD)]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Pouca Familiariadade com Domínio de Negócio]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Utilizar fatos ao invés de suposições]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Verificar adequação da solução com o problema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Checar prós e contras da solução selecionada]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Escolher a solução de acordo com as limitações do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Pensar em mais de uma solução arquitetural para o problema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Decidir respeitando o tempo de entrega do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Definir prioridades do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Antecipar possíveis riscos na escolha da solução]"
"2023/02/22 2:59:51 PM GMT-3","Concordo.","20 a 30 anos","Menos de 1 ano","Estagiário","11 - 25","Estudante de Graduação","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/22 5:16:14 PM GMT-3","Concordo.","20 a 30 anos","Menos de 1 ano","Estagiário","11 - 25","Estudante de Graduação","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/23 11:58:25 AM GMT-3","Concordo.","31 a 40 anos","Menos de 1 ano","Engenheiro(a) de Software","11 - 25","Graduação","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/24 2:40:13 PM GMT-3","Concordo.","31 a 40 anos","6 a 10 anos","Arquiteto(a) de Software","11 - 25","Pós-Graduação / MBA","Sim","1 a 2 anos","Durante as iterações ou sprints","Decisão em grupo","Com base nos requisitos e interações entre os stakeholders","3","3","Sim","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","4","Muito Importante","Muito Importante","Moderadamente Importante","Moderadamente Importante","Pouco Importante","Nenhum Pouco Importante","Muito Importante","Muito Importante","Extremamente Importante","Muito Importante","Moderadamente Importante","Pouco Importante","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Moderamente Importante","Moderamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Extremamente Importante"
"2023/02/24 3:06:22 PM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Engenheiro(a) de Software","11 - 25","","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/24 3:28:29 PM GMT-3","Concordo.","20 a 30 anos","6 a 10 anos","Arquiteto(a) de Software","1 - 10","Graduação","Sim","1 a 2 anos","Qualquer momento","Decisão em grupo","Partimos da analise da demanda, assim que for sugindo as alternativas de desenvolvimentos paramos para pensar no melhor caminho lenvando em consideração o custo por benefício.","4","5","Não","Documento de Texto (Word, Text, Google Docs)","4","2","Muito Importante","Extremamente Importante","Muito Importante","Moderadamente Importante","Muito Importante","Moderadamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Moderadamente Importante","Impacto muito elevado","Impacto elevado","Impacto elevado","Pouco impacto","Nenhum impacto","Pouco impacto","Muito Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante"
"2023/02/27 10:54:01 AM GMT-3","Concordo.","41 a 50 anos","Mais de 15 anos","Professor/pesquisador","Mais de 100","Doutorado / PhD","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/28 9:12:36 AM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Líder de time","1 - 10","Pós-Graduação / MBA","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/28 4:18:47 PM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Professor","11 - 25","Mestrado","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/28 4:45:59 PM GMT-3","Concordo.","31 a 40 anos","6 a 10 anos","Engenheiro(a) de Software","Mais de 100","Graduação","Sim","5 a 10 anos","Qualquer momento","Decisão em grupo","No geral uma pessoa faz o refinamento inicial de épico e traz para o time o problema que pode precisar de decisão arquitetural, se for algo mais complexo a pessoa que esta puxando o refinamento marca uma call para o time discutir sobre o problema, criar os diagramas necessários para entender o problema e desenhar uma solução. Caso precise mais reuniões são marcadas e eventualmente pessoas de outros times são chamadas pra ajudar na solução.","4","3","Sim","Any/Architectural Decision Record (ADR)","4","4","Moderadamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante","Extremamente Importante","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Impacto elevado","Impacto elevado","Extremamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Muito Importante","Muito Importante","Muito Importante","Muito Importante"
"2023/03/01 9:29:32 AM GMT-3","Concordo.","31 a 40 anos","11 a 15 anos","Gerente de Projeto","26 - 50","Mestrado","Sim","5 a 10 anos","Durante as iterações ou sprints","Decisão em grupo","Buscamos seguir as tecnologias e modelos aplicados ao PJe 2, bem como ops sugestões apontadas pelos professores da Aprendizagem Baseada em Projetos. ","4","5","Não","Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","3","Pouco Importante","Não se aplica","Moderadamente Importante","Muito Importante","Não se aplica","Muito Importante","Muito Importante","Moderadamente Importante","Moderadamente Importante","Moderadamente Importante","Pouco Importante","Pouco Importante","Impacto muito elevado","Impacto muito elevado","Impacto moderado","Impacto elevado","Pouco impacto","Pouco impacto","Muito Importante","Extremamente Importante","Muito Importante","Moderamente Importante","Moderamente Importante","Muito Importante","Muito Importante","Moderamente Importante"
