"Carimbo de data/hora","Confirme que você concorda com os termos e condições acima para a pesquisa.","Qual sua idade?","Há quantos anos você trabalha na área de tecnologia da informação/TI?","Qual sua função na empresa onde vc trabalha?","Qual o tamanho da sua equipe de trabalho?","Qual seu grau de educação formal?","Você é responsável pelas decisões arquiteturais no seu local de trabalho?","Há quantos anos você trabalha tomando e/ou documentando decisões arquiteturais?","Em qual fase do projeto são tomadas as decisões arquiteturais?","Como as decisões arquiteturais são tomadas?","Descreva como são tomadas as decisões arquiteturais onde você trabalha.","O quão confiante você é ao tomar uma decisão arquitetural?","Ao tomar uma decisão arquitetural, você procura eleger mais uma solução na sua mente?","Você utiliza alguma ferramenta de apoio a tomada de decisão arquitetural?","Como são documentadas as decisões arquiteturais tomadas?","Quão importante você considera documentar decisões arquiteturais tomadas?","As decisões arquiteturais tomadas são revisitadas durante o tempo de vida do projeto? ","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Tamanho da Empresa]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Negociais (Domínio, Modelo, Custo/Risco/Tempo, Estratégia de Negócio)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Organizacionais (Tamanho do Time, Organização do Time, Processos e Práticas, Padrões e Restrições)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Técnicos (Princípios e Padrões, Restrições)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Culturais]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores Individuais]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Fatores de Projeto (Tipo e Duração do Projeto)]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Escopo da Decisão]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Atributos de Qualidade]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Requisitos do Usuário]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Literatura existente]","Indique o quão importante são os fatores listados abaixo para o processo de tomada de decisão arquitetural. [Ferramentas e Tecnologia Disponíveis]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Falta de clareza nos requisitos]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Requisitos Não Funcionais Conflitantes (ex.: Desempenho x Segurança)]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Prazo de entrega insuficiente]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Conflito entre Stakeholders]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Obrigações Contratuais Legais (ex.: LGPD)]","Indique o quão impactante são as dificuldades listadas durante o processo de tomada de decisão arquitetural. [Pouca Familiariadade com Domínio de Negócio]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Utilizar fatos ao invés de suposições]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Verificar adequação da solução com o problema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Checar prós e contras da solução selecionada]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Escolher a solução de acordo com as limitações do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Pensar em mais de uma solução arquitetural para o problema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Decidir respeitando o tempo de entrega do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Definir prioridades do sistema]","Indique o quão importante são os princípios abaixo para o processo de tomada de decisão arquitetural. [Antecipar possíveis riscos na escolha da solução]"
"2023/01/25 7:09:02 PM GMT-3","Concordo.","31 a 40 anos","Mais de 15 anos","Líder de time","11 - 25","Mestrado","Sim","10 a 20 anos","Qualquer momento","Decisão em grupo","","4","5","Sim","Documento de Texto (Word, Text, Google Docs);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.);Diagramas e Mindmaps","5","4","Pouco Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Pouco Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Pouco impacto","Pouco impacto","Impacto moderado","Muito Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/01/27 12:19:09 AM GMT-3","Concordo.","20 a 30 anos","6 a 10 anos","Arquiteto(a) de Software","11 - 25","Estudante de Graduação","Sim","1 a 2 anos","Qualquer momento","Individualmente","","4","4","Não","Wiki;Any/Architectural Decision Record (ADR);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.);Draw.io","5","5","Moderadamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Nenhum Pouco Importante","Muito Importante","Extremamente Importante","Não se aplica","Não se aplica","Não se aplica","Extremamente Importante","Impacto elevado","Impacto muito elevado","Impacto moderado","Impacto muito elevado","Pouco impacto","Impacto muito elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderamente Importante","Muito Importante","Moderamente Importante","Muito Importante","Extremamente Importante"
"2023/01/27 12:06:13 PM GMT-3","Concordo.","20 a 30 anos","6 a 10 anos","Arquiteto(a) de Software","50 - 100","Graduação","Sim","3 a 4 anos","Qualquer momento","Decisão em grupo","","4","4","Não","Wiki;Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","4","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Pouco Importante","Pouco Importante","Muito Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Moderadamente Importante","Moderadamente Importante","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto moderado","Impacto moderado","Impacto moderado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/01/27 2:08:53 PM GMT-3","Concordo.","20 a 30 anos","1 a 5 anos","Engenheiro(a) de Software","1 - 10","Estudante de Graduação","Sim","1 a 2 anos","Qualquer momento","Decisão em grupo","Inicialmente em plannings com o time de desenvolvimento, depois de forma individual ou em pares, além de discussões com outros times em canais abertos.","1","5","Sim","Wiki;Any/Architectural Decision Record (ADR)","5","5","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Pouco Importante","Nenhum Pouco Importante","Moderadamente Importante","Muito Importante","Muito Importante","Muito Importante","Pouco Importante","Moderadamente Importante","Extremamente Importante","Impacto elevado","Impacto elevado","Impacto muito elevado","Impacto muito elevado","Pouco impacto","Impacto elevado","Moderamente Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderamente Importante","Moderamente Importante"
"2023/02/02 10:37:58 AM GMT-3","Concordo.","41 a 50 anos","","Engenheiro(a) de Software","1 - 10","Mestrado","Sim","10 a 20 anos","Qualquer momento","Decisão em grupo","Preferencialmente, as decisões são tomadas nas fases iniciais do projeto. Pessoalmente gosto de tomar as primeiras sprints (o número depende do tamanho e duração do projeto) para POC e documentação das principais  decisões arquiteturais. Esse documento tende a ser bem enxuto (houve em alguns casos que usei um único arquivo .drawio ou um powerpoint). Ao longo do projeto, sempre monitoramos as decisões, e verificamos se ela atende. Se necessário, planejamos mudanças ao longo da sprint. Em casos extremos, podemos fazer uma mudança a qualquer momento, desde que a necessidade seja justificada. Finalmente, o documento deve ser sempre atualizado com o histórico de decisões tomadas com suas devidas justificativas.","4","5","Não","Wiki;Documento de Texto (Word, Text, Google Docs);Diagramas no drawio","5","5","Pouco Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Moderadamente Importante","Extremamente Importante","Muito Importante","Pouco Importante","Muito Importante","Impacto muito elevado","Impacto elevado","Impacto muito elevado","Impacto moderado","Impacto muito elevado","Pouco impacto","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Muito Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/02/06 7:34:02 PM GMT-3","Concordo.","20 a 30 anos","6 a 10 anos","Arquiteto(a) de Software","50 - 100","Graduação","Sim","3 a 4 anos","Qualquer momento","Decisão em grupo","","5","5","Não","Wiki;Documento de Texto (Word, Text, Google Docs);Código-fonte (Gitlab, Github, DCVS, CVS, etc.);Sistema de Gerenciamento de Problemas (Redmine, JIRA, Backlog, etc.)","5","5","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Moderadamente Importante","Muito Importante","Extremamente Importante","Não se aplica","Extremamente Importante","Extremamente Importante","Extremamente Importante","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto muito elevado","Impacto moderado","Impacto elevado","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante","Extremamente Importante"
"2023/02/22 12:27:23 PM GMT-3","Concordo.","20 a 30 anos","1 a 5 anos","Desenvolvedor(a) Senior","1 - 10","Estudante de Graduação","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/22 12:28:27 PM GMT-3","Concordo.","41 a 50 anos","Menos de 1 ano","Desenvolvedor jr.","11 - 25","Pós-Graduação / MBA","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/22 12:29:21 PM GMT-3","Concordo.","31 a 40 anos","Menos de 1 ano","estagiário","1 - 10","Estudante de Graduação","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/02/22 12:38:53 PM GMT-3","Concordo.","20 a 30 anos","1 a 5 anos","Desenvolvedor junior ","11 - 25","Estudante de Graduação","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
